,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Mpz,Apod,Glycam1,Apoe,Snhg11,Snhg11,Atp1b2,Nefl,Apoe,Plp1,Snap25,Sst,Igfbp7,Apoe,Snhg11,Ptgds,Apoe,Plp1,Basp1,Apod,Plp1,C4b,Ywhag,C1qa,Cd74,Cd74,Acta1,Ighm,Nefm,Col1a2
1,Pmp22,Plp1,Itgal,Csf3r,Snap25,Ly6h,Apoe,Nefh,Nap1l5,Apoe,Vsnl1,Nap1l5,Vim,Cldn11,Apoe,Apod,Col1a2,Cnp,Apoe,Apoe,Cldn11,Apoe,Apoe,Apoe,Apoe,Ighm,Tnnt3,Igkc,Stk10,Col1a1
2,Prx,Trf,Hbb-bs,Mafb,Atp1b1,Hap1,Bcan,Nefm,Atp1b1,Id4,Eno2,Camk2a,Pltp,Sirt2,Basp1,Igf2,Col1a1,Ugt8a,Zwint,Igf2,Mag,Vim,Cplx1,Cd9,H2-Eb1,H2-Eb1,Tpm2,Jchain,Serinc5,Col3a1
3,Apod,Hapln2,Hba-a2,Gpnmb,Atp1a3,Cacna2d1,Gpr37l1,Ywhag,Map1b,Hapln2,Nefh,Tac1,Spock2,Trf,Baiap3,Col1a2,H2-Eb1,Mog,Ly6h,Col1a1,Apod,Id4,Slco1a4,Mafb,H2-Ab1,H2-Ab1,Atp2a1,Col1a1,Coro6,H2-Eb1
4,Plekha4,Klk6,Lyz2,Tyrobp,Nap1l5,Baiap3,Slc6a11,Map1b,Bcan,Ushbp1,Kcnc3,Camkv,Col4a1,Mag,Ly6h,Aebp1,Igf2,Hapln2,Ncdn,Col1a2,Ptgds,C3,Slc6a1,Tyrobp,C1qa,Igkc,Tnnc2,Col1a2,Mdh1,Igf2
5,Col1a2,Mag,Trac,Lyz2,Basp1,Sst,Slc7a10,Snap25,Uchl1,Ccdc88b,Camk2a,Hpcal4,Cldn5,Cnp,Hap1,Col1a1,Col3a1,Ermn,Slc6a11,Col3a1,Cnp,Igfbp7,Ttc28,Unc93b1,H2-Aa,Ighd,Ckm,Lyz2,Mog,H2-Ab1
6,Aatk,Cldn11,Trbc2,Card9,Ywhag,Vsnl1,Fgfr3,Uchl1,Atp1a3,Tyrobp,Thy1,Baiap3,Slc2a1,Phldb1,Cacna2d1,Igfbp2,H2-Ab1,Trf,C1qa,Igfbp7,Apoe,A2m,Kit,Aif1,Lyz2,H2-Aa,Pvalb,Igha,Tmeff2,Lyz2
7,Ahnak,Cnp,Ccl19,Cyth4,Sncb,Camkv,Nefl,Atp1b1,Aplp1,Inpp5d,Nrgn,Cdh8,Egfl7,Id4,Begain,Vtn,Lyz2,Opalin,Begain,C3,Phldb1,Myoc,Adgrf5,Lyz2,C3,Man1a,Mylpf,H2-Eb1,Kifc2,Dcn
8,Cd9,C4b,Ptprc,Unc93b1,Zwint,Penk,Slc6a1,Cplx1,Zwint,Ddit4l,Stmn3,Pdyn,Ahnak,Car2,Camkv,Col3a1,Igfbp2,Olig1,Camk2a,C4b,Trf,Rapgef3,Abcc6,Ctsz,Col1a1,Coro1a,Tnni2,Col3a1,Vsnl1,Col6a2
9,Col4a1,Aplp1,Lck,Fyb,Uchl1,Basp1,Ntsr2,Tubb3,Eef1a2,Col9a3,Scn4b,Ebf1,Itm2a,Hapln2,Sst,Fn1,Dcn,Tspan2,Tac2,Trf,Aplp1,Fmod,Slc2a1,Csf3r,Vim,Cd37,Tcap,Igf2,Eno2,Bgn
10,Vim,Ugt8a,Cd2,Inpp5d,Eef1a2,Tac2,Gpam,Sncg,Cplx1,Paqr5,Penk,Calb1,Rgs5,Ddr1,Camk2a,Ccn2,Cfh,Tmem63a,Baiap3,Vim,Mal,H2-K1,Sv2b,Gpnmb,Col3a1,H2-Ob,Mb,H2-Ab1,Sprr1a,Aebp1
11,Smtn,Ermn,Egfl7,Ctsz,Eno2,Kifc2,Tril,Stmn2,Nat8l,Foxq1,Nat8l,Cacng5,Klf2,Aatk,Ptprn,Mgp,H2-Aa,Carns1,Tac1,Col4a1,C4b,Cxcl12,Irf8,Rasal3,Col1a2,Shisa5,Casq1,H2-Aa,Trim7,Ccl19
12,Cfap100,Carns1,Nrgn,Cxcl16,Nat8l,Camk2a,Paqr6,Vgf,Tac2,Hist1h2ap,Got1,Snca,Sgms1,Nrbp2,Penk,Fmod,Bgn,Enpp6,Penk,Klk6,Car2,Als2cl,Arhgap29,Irf8,Igfbp7,Cd19,Myh2,Igkv5-45,Sp100,Ccn2
13,Sema3b,Sec14l5,Myh11,Cfh,Vsnl1,Arpp21,Rapgef3,Vamp1,Camk2a,Naip5,Tac2,Tac2,Cald1,A2m,Gria2,Zic2,Aebp1,Plekhh1,Hpcal4,C1qa,Aatk,Hspb8,Nnat,H2-Ab1,Igf2,Arhgef1,Myh1,Cd74,Lrmp,Maf
14,Drp2,Mog,Dgka,Bin2,Kcnc3,Car11,Itih3,Acly,Sst,Gpr17,Cabp7,Cpne4,Nnat,Myoc,Dbn1,Slc6a20a,C3,Tnr,Myt1,Dcn,Sirt2,Ntsr2,Cabp7,Sipa1,Tyrobp,Fcer2a,Ttn,Shisa5,Pgbd5,Il21r
15,Dusp15,Nrbp2,Ddit4l,Aif1,Nefl,Kcnt1,Ptch1,Kcnc3,Slc6a11,Tmem88,Pcp4l1,Hbb-bt,Cavin1,Aif1,Celf5,Dcn,Vtn,Efnb3,Mafb,Lyz2,Nrbp2,Igf2,Cpne6,C3,Apod,Syk,Hspb6,Gpnmb,Ift81,Slc1a5
16,Col1a1,Aatk,Sept1,Bst2,Cplx1,Begain,Gpld1,Nat8l,Vstm2l,Itga1,Slc6a11,Ccdc172,Id1,Ermn,Tac2,Foxd1,Col4a1,Adamts4,Vstm2l,Cfh,Hcn2,Fgfr3,Sox18,H2-K1,Unc93b1,Tbc1d10c,Fhl1,Coro1a,Shisa7,Cfh
17,Col3a1,Sox10,Vwf,Ncf1,Thy1,Psd,Id4,Stmn3,Slc7a10,Prom1,Hpcal4,Nmu,Esam,Tyrobp,Kcnt1,Thbs1,Gpnmb,Klk6,Gap43,Ahnak,Mog,Glis3,Sema3g,Itgam,Mafb,Trac,Obscn,Arhgap30,Crtac1,Arhgef1
18,Hspg2,Mal,Zap70,Rasal3,Syp,Nap1l5,Prodh,Thy1,Lmx1b,Ly6a,Zwint,Ebf2,Tagln,Olig1,Kifc2,Islr,Sned1,Acot1,Aif1,Gpnmb,Ddr1,Asap3,Crabp1,Cebpa,H2-K1,Cd79b,Myl2,Arhgap45,Cd52,Fmod
19,Ogn,Tmem63a,Cfap65,Tlr2,Ndrg4,Celf5,Car14,Eef1a2,Klf4,Kcnj14,Pnmal2,Gda,Myh11,Cd300lf,Arpp21,Isyna1,Maf,Gjc2,Camkv,Vtn,Ugt8a,Col9a3,Vcan,Cyth4,Gpnmb,Il21r,Apobec2,Man1a,Rgs4,Col6a3
20,Cldn19,Gjc2,Kcnc2,Spp1,Dnm1,Cacna1b,Syne1,Atp1a3,Foxq1,Kank3,Sncb,Adcyap1,Acta2,Itgam,Car11,Bmp6,Ccn2,Ttyh2,Sncb,H2-Eb1,Hapln2,Cldn11,Slfn5,Ucp2,Ly6e,Arhgap30,Actn2,Dcn,Eng,Islr
21,Hspa12a,Fa2h,Skap1,Itgam,Ncdn,Dbn1,Col11a2,Prph,Baiap3,Apoc1,Nrn1,Kif4,Flt1,Klk6,Carmil3,Aldh1a2,Serping1,Gpr17,Snca,Bgn,Kndc1,Nnat,Sox11,Ptprc,C4b,Arhgap45,Tnnt1,Cxcl12,Foxj1,Sned1
22,Dcn,Kndc1,Pdyn,Hpcal4,Peg3,Ptprn,Sox9,Ahnak2,Tac1,Sptssb,Itih3,Gpr83,Sox17,C3,Hpcal4,Hbb-bs,Hspg2,Rnf122,Nrgn,Tyrobp,Tmeff2,Tlr2,Rasl12,Fyb,Cfh,Swap70,Car3,Nfkb2,Lamp5,Col6a1
23,Sox10,Efnb3,Ccn2,Gbp5,Nefm,Celf3,Sox2,Ndrg4,Tbx1,Ltbp4,Flt1,Kcng2,Ptprb,Mafb,Ahi1,Nr2f2,Tyrobp,Tmem88b,Cbarp,Igfbp2,Efnb3,Gpnmb,Cd300lf,Sh3bp2,Cd9,Ly6e,Fabp3,Sned1,Epha10,Glycam1
24,Maf,Cdk18,Slc30a10,Sat1,Pdcd7,Gria2,Car2,Apoe,Tek,Cfap74,Atp6v1g2,Colgalt2,Tpm2,Gpr17,Ncdn,Foxc1,Pltp,Rras2,Gpr37l1,Mgp,Nfasc,Trf,Itgae,Itgb2,Aif1,H2-Q6,Mybpc1,H2-K1,Fam43a,Col5a1
25,Ncmap,Car14,Pax5,Dock2,Ptprn,Ahi1,Nfasc,Spock2,Nrgn,Fas,Cck,Mycl,Id4,Bmf,Scg2,Slc6a13,Nid1,Myrf,Sst,Mafb,Ermn,Ano1,Nmu,Ptpn6,Ucp2,Ptpn6,Ckmt2,H2-Q6,Hspb8,Serpinh1
