,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Snhg11,Apoe,Snap25,mt-Cytb,Igkc,Acta1,Cd74,Plp1,Nefl,Plp1,Plp1,mt-Cytb,Aldoc,Pltp,Ptgds,Cd74,Apoe,Apod,Apod,Mpz
1,Basp1,Hbb-bs,Atp1b1,Hba-a2,Hbb-bs,Tnnt3,Ighm,Ptgds,Nefh,Apod,Apoe,Apoe,mt-Cytb,Igfbp7,Igf2,Igf2,Cd74,Igkc,Apoe,Pmp22
2,Nap1l5,Hba-a2,Snhg11,Hbb-bt,Glycam1,Atp2a1,Igkc,mt-Cytb,Nefm,Cldn11,Flnc,Plp1,Atp1b2,Cldn5,Col1a2,Col1a1,C1qa,Prx,Col3a1,Prx
3,Ly6h,Cfd,Atp1a3,Muc13,Hbb-bt,Ckm,H2-Eb1,Mag,Ywhag,Trf,Ntn5,Artn,Nefl,Col4a1,Col1a1,Apoe,C3,Pmp22,Igkc,Apod
4,Snap25,Itih2,Ywhag,Sytl3,Hba-a2,Tnnc2,H2-Ab1,Cldn11,Map1b,Mag,Cox8b,Il15,Mt2,Slc2a1,Col3a1,H2-Eb1,C4b,Igfbp6,Cfh,Plekha4
5,Hap1,Comp,Nat8l,Cfd,Tnfrsf13c,Tpm2,Man1a,Aldoc,Uchl1,Cnp,Uhrf1,Tbx21,Snap25,Vim,Igfbp2,Lyz2,H2-Ab1,Hbb-bs,Klk6,Col1a2
6,Zwint,Plin1,Sncb,Myom1,Jchain,Tnni2,Ighd,Phldb1,Sncg,C4b,Ms4a4a,Fam178b,Slc6a11,Egfl7,Aebp1,Col1a2,Vim,Plekha4,Pi16,Ahnak
7,Atp1a3,Serinc4,Nefl,Fabp4,S100a9,Mylpf,Coro1a,Nefl,Atp1b1,Apoe,Dapl1,Ccdc3,Gpr37l1,Ahnak,Fmod,Col3a1,Mt2,Hba-a2,Egfl8,Aatk
8,Vsnl1,Angptl1,Cplx1,Magix,S100a8,Pvalb,H2-Aa,Aplp1,Tubb3,Aplp1,Cfd,Lrr1,Bcan,Sgms1,Mgp,H2-Ab1,Tyrobp,Islr,Dcn,Cfap100
9,Ptprn,S100a7a,Eef1a2,Ngp,Cfd,Casq1,Il21r,Hcn2,Stmn2,Phldb1,Prkag3,Syt8,Basp1,Spock2,Ccn2,Igfbp7,H2-Eb1,Slc6a13,Slc6a13,Smtn
